id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
04AEH,Norwich,US,NY,,KOIC,42.5665,-75.5242,312.0,America/New_York,2022-04-23,2025-03-01,2022-04-23,2022-04-26,,
3SPRK,Skaneateles Aero Drome,US,NY,,K6B9,42.914,-76.4408,316.0,America/New_York,2022-05-06,2025-03-01,,,,
72498,Cumminsville,US,NY,72498,KDSV,42.57,-77.72,201.0,America/New_York,2004-01-01,2025-03-01,2004-01-01,2022-04-25,2005-01-01,2022-01-01
72503,LaGuardia Airport,US,NY,72503,KLGA,40.7833,-73.05,7.0,America/New_York,1973-01-01,2025-03-01,1939-10-07,2025-02-23,1939-01-01,2022-01-01
72505,Islip / Lakeland,US,NY,72505,KISP,40.7953,-73.1002,30.0,America/New_York,1973-01-01,2025-03-01,1963-09-05,2025-02-23,1963-01-01,2022-01-01
72515,Binghamton Regional Airport,US,NY,72515,KBGM,42.2,-75.15,499.0,America/New_York,1973-01-01,2025-03-01,1951-05-25,2025-02-23,1951-01-01,2022-01-01
72518,Albany International Airport,US,NY,72518,KALB,42.75,-73.1333,87.0,America/New_York,1946-01-01,2025-03-01,1938-06-01,2025-02-23,1938-01-01,2022-01-01
72519,Syracuse Hancock International  Airport,US,NY,72519,KSYR,43.1167,-76.1,125.0,America/New_York,1942-10-01,2025-03-01,1938-05-01,2025-02-23,1938-01-01,2022-01-01
72522,Glens Falls / Dix Mobile Home Park,US,NY,72522,KGFL,43.3412,-73.6103,100.0,America/New_York,1973-01-01,2025-03-01,1944-05-01,2025-02-23,1944-01-01,2022-01-01
72523,"Dansville / Municipal, Ny.",US,NY,72523,,42.5667,-77.7167,202.0,America/New_York,,,1945-11-01,2025-02-22,1945-01-01,2022-01-01
72528,Buffalo Airport,US,NY,72528,KBUF,42.9333,-78.7333,221.0,America/New_York,1942-02-01,2025-03-01,1938-05-01,2025-02-23,1938-01-01,2022-01-01
72529,Greater Rochester International,US,NY,72529,KROC,43.1167,-77.6833,170.0,America/New_York,1973-01-01,2025-03-01,1926-01-02,2025-02-23,1926-01-01,2022-01-01
72622,Harrietstown,US,NY,72622,KSLK,44.38,-74.19,507.0,America/New_York,2006-01-01,2025-03-01,2006-01-01,2022-04-25,2006-01-01,2022-01-01
74370,Fort Drum / Wheeler-Sack U. S. Army Airfield,US,NY,74370,KGTB,44.05,-75.7333,207.0,America/New_York,2006-01-01,2025-03-01,1952-01-04,2022-04-25,1953-01-01,2022-01-01
74480,"Verona, Ny. Af",US,NY,74480,KRME,43.1333,-75.6,0.0,America/New_York,1942-07-01,2025-03-01,1942-07-02,2022-04-25,1942-01-01,2022-01-01
74484,"West Dover, Vt.",US,NY,74484,KN66,42.9333,-72.8667,0.0,America/New_York,2022-05-06,2025-03-01,,,,
74486,John F. Kennedy Airport,US,NY,74486,KJFK,40.6333,-73.7667,4.0,America/New_York,1973-01-01,2025-03-01,1948-07-17,2025-02-22,1948-01-01,2022-01-01
74498,Cook Corners,US,NY,74498,KDKK,42.5,-79.28,211.0,America/New_York,1999-01-14,2025-03-01,1999-01-17,2022-04-25,2005-01-01,2022-01-01
K44N0,Millbrook / Moores Mill,US,NY,,K44N,41.7074,-73.738,213.0,America/New_York,1989-07-14,1996-02-14,,,,
KART0,Watertown / Breezy Knoll Mobile Home Park,US,NY,,KART,43.9919,-76.0217,100.0,America/New_York,1949-05-01,2025-03-01,1949-05-05,2022-04-24,1949-01-01,2022-01-01
