"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"03/01/2025 00:00:00","EST","CAPITL",61757,1283.1799
"03/01/2025 00:00:00","EST","CENTRL",61754,1582.6168
"03/01/2025 00:00:00","EST","DUNWOD",61760,585.3649
"03/01/2025 00:00:00","EST","GENESE",61753,973.9348
"03/01/2025 00:00:00","EST","HUD VL",61758,949.7948
"03/01/2025 00:00:00","EST","LONGIL",61762,1879.935
"03/01/2025 00:00:00","EST","MHK VL",61756,889.2215
"03/01/2025 00:00:00","EST","MILLWD",61759,267.0818
"03/01/2025 00:00:00","EST","N.Y.C.",61761,4615.6543
"03/01/2025 00:00:00","EST","NORTH",61755,673.8812
"03/01/2025 00:00:00","EST","WEST",61752,1643.7647
"03/01/2025 01:00:00","EST","CAPITL",61757,1261.0435
"03/01/2025 01:00:00","EST","CENTRL",61754,1561.1397
"03/01/2025 01:00:00","EST","DUNWOD",61760,560.7913
"03/01/2025 01:00:00","EST","GENESE",61753,961.7265
"03/01/2025 01:00:00","EST","HUD VL",61758,925.7459
"03/01/2025 01:00:00","EST","LONGIL",61762,1800.2977
"03/01/2025 01:00:00","EST","MHK VL",61756,861.9839
"03/01/2025 01:00:00","EST","MILLWD",61759,256.8495
"03/01/2025 01:00:00","EST","N.Y.C.",61761,4453.9809
"03/01/2025 01:00:00","EST","NORTH",61755,669.1477
"03/01/2025 01:00:00","EST","WEST",61752,1610.9118
"03/01/2025 02:00:00","EST","CAPITL",61757,1237.9037
"03/01/2025 02:00:00","EST","CENTRL",61754,1526.2696
"03/01/2025 02:00:00","EST","DUNWOD",61760,543.5138
"03/01/2025 02:00:00","EST","GENESE",61753,944.2279
"03/01/2025 02:00:00","EST","HUD VL",61758,909.5267
"03/01/2025 02:00:00","EST","LONGIL",61762,1745.2675
"03/01/2025 02:00:00","EST","MHK VL",61756,845.5938
"03/01/2025 02:00:00","EST","MILLWD",61759,248.9639
"03/01/2025 02:00:00","EST","N.Y.C.",61761,4327.514
"03/01/2025 02:00:00","EST","NORTH",61755,662.3777
"03/01/2025 02:00:00","EST","WEST",61752,1590.7686
"03/01/2025 03:00:00","EST","CAPITL",61757,1231.0086
"03/01/2025 03:00:00","EST","CENTRL",61754,1534.1149
